Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Storage Type,Storage Co-location REPD Ref ID,Installed Capacity (MWelec),Share Community Scheme,CHP Enabled,CfD Allocation Round,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity,No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Are they re-applying (New REPD Ref),Are they re-applying (Old REPD Ref) ,Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational,Heat Network Ref,Solar Site Area (sqm),Status_Category,geometry
2470,12628074,15/09/2022,Scottish Power Renewables,East Anglia 3 (EA 3),Wind Offshore,,,1400.0,,,AR6,,,158.90,14.00,100,282.00,,Under Construction,Under Construction,,,"East Anglia Offshore Wind Three, Underground Cabling Between Bramford And Bawdsey, Lowestoft",Offshore,Offshore,England,NR32,685500,257000,The Planning Inspectorate - National Infrastructure,EN010056,,,,,03/01/1900,18/11/2015,,,,,,,07/08/2017,,,,,01/08/2022,,,,Under Construction,POINT (685500 257000)
2471,12628698,01/04/2022,Scottish Power Renewables,East Anglia 1 North (EA 4),Wind Offshore,,,800.0,,,,,,,11.90,67,282.00,,Planning Permission Granted,Awaiting Construction,,,36km offshore from Lowestoft,Offshore,Offshore,England,NR32,685500,257000,The Planning Inspectorate - National Infrastructure,EN010077,,,,,03/01/1900,15/10/2019,,,,,,,31/03/2022,,,,31/03/2029,,,,,Planned,POINT (685500 257000)
2472,12310283,18/03/2022,Orsted (formerly Dong Energy),Hornsea 3,Wind Offshore,,,2955.0,,No,AR6,,,1080.00,10.00,231,,,Planning Permission Granted,Awaiting Construction,,,120km Offshore from Cromer,Offshore,Offshore,England,,626000,426000,The Planning Inspectorate - National Infrastructure,EN010080,,,,,03/01/1900,14/05/2018,,,,,,,30/12/2020,,,,13/12/2027,,,,,Planned,POINT (626000 426000)
2473,12627923,07/05/2025,Orsted (formerly Dong Energy),Hornsea 4,Wind Offshore,,,2600.0,,,AR6,,,2400.00,14.40,180,,,Planning Permission Granted,Awaiting Construction,,,69km offshore from Flamborough,Offshore,Offshore,England,,626000,426000,The Planning Inspectorate - National Infrastructure,EN010098,,,,,03/01/1900,29/09/2021,,,,,,,12/07/2023,,,,12/07/2030,,,,,Planned,POINT (626000 426000)
2475,,05/12/2008,Celtpower,Cirrus Shell Flat Array,Wind Offshore,,,284.0,,,,,,,3.15,90,,,Planning Application Withdrawn,Application Withdrawn,,,7km Cleveleys ,Offshore,Offshore,England,,323355,443490,DECC (S36),,,,,,01/01/1900,,05/12/2008,,,,,,,,,,,,,,,Planned,POINT (323355 443490)
2477,10608646,27/01/2010,E.On  / Energie 2,Scarweather Sands ,Wind Offshore,,,108.0,,,,,,,3.00,30,,,Planning Application Withdrawn,Application Withdrawn,,,5.5km Sker Point (nr Porthcawl) ,Offshore,Offshore,Wales,,272400,171520,DECC (S36),,,,,,01/01/1900,,27/01/2010,,,,,,,,,,,,,,,Planned,POINT (272400 171520)
2484,12225106,22/12/2022,RWE Renewables UK Limited,The East Anglia Array - Norfolk Vanguard,Wind Offshore,,,2800.0,,No,,,,,,145,350.00,,Planning Permission Granted,Awaiting Construction,,,"North Sea, off the East Anglia coast",Offshore,Offshore,England,,708047,312194,The Planning Inspectorate - National Infrastructure,EN010079,,,,,03/01/1900,11/07/2018,,18/02/2021,,,,,11/02/2022,,,11/02/2022,11/02/2027,,,,,Planned,POINT (708047 312194)
2487,10541826,27/02/2018,Orsted (formerly Dong Energy),Burbo Bank,Wind Offshore,,,90.0,,,,,,,3.60,25,,,Operational,Operational,,,"Burbo Flats, Liverpool Bay, approximately 6.4km (4.0 miles) from the Sefton coastline and 7.2km (4.5 miles) from North Wirral.",Offshore,Offshore,England,,321476,399706,DECC (S36),,,,,,01/01/1900,12/04/2002,,,,,,,14/07/2006,,,,,01/08/2006,18/10/2007,,,Operational,POINT (321476 399706)
2489,10876065,20/11/2017,Orsted (formerly Dong Energy),Gunfleet Sands II ,Wind Offshore,,,64.8,,,,,,,3.60,18,,,Operational,Operational,,,5 Miles from the Essex coast at Frinton-on-Sea,Offshore,Offshore,England,,624262,208150,DECC (S36),,,,,,02/01/1900,18/06/2007,,,,,,,28/02/2008,,,,,01/04/2009,24/07/2009,,,Operational,POINT (624262 208150)
2490,10876065,01/05/2018,Orsted (formerly Dong Energy),Gunfleet Sands Offshore Wind Scheme,Wind Offshore,,,108.0,,,,,,,3.60,30,,,Operational,Operational,,,Gunfleet Sands 4 miles offshore from Holland-on-Sea Nr Clacton-on-Sea Essex,Offshore,Offshore,England,,622317,208468,DECC (S36),,,,,,01/01/1900,01/03/2002,,,,,,,01/03/2004,,,,,01/04/2009,24/07/2009,,,Operational,POINT (622317 208468)
2491,,24/08/2017,XceCo,Inner Dowsing ,Wind Offshore,,,97.2,,,,,,,3.60,27,,,Operational,Operational,,,5.2km Ingoldmells ,Offshore,Offshore,England,,563561,368447,DECC (S36),,,,,,01/01/1900,11/09/2002,,,,,,,23/09/2003,,,,,01/03/2008,20/04/2008,,,Operational,POINT (563561 368447)
2492,10657454,27/10/2017,Vattenfall,Kentish Flats ,Wind Offshore,,,90.0,,,,,,,3.00,30,,,Operational,Operational,,,"Saltend, Thames Estuary, North Sea",Offshore,Offshore,England,,615015,178055,DECC (S36),,,,,,01/01/1900,15/08/2002,,,,,,,01/03/2003,,,,,01/06/2004,10/09/2005,,,Operational,POINT (615015 178055)
2493,,24/08/2017,XceCo,Lynn,Wind Offshore,,,97.2,,,,,,,3.60,27,,,Operational,Operational,,,5.2km Skegness ,Offshore,Offshore,England,,564095,362638,DECC (S36),,,,,,01/01/1900,29/10/2003,,,,,,,14/08/2004,,,,,01/03/2008,15/03/2008,,,Operational,POINT (564095 362638)
2494,10562577,23/08/2017,Greencoat (formerly Npower Renewables),North Hoyle ,Wind Offshore,,,60.0,,,,,,,2.00,30,,,Operational,Operational,,,7.5km Prestatyn & Rhyl ,Offshore,Offshore,Wales,,303823,392138,DECC (S36),,,,,,01/01/1900,05/04/2001,,,,,,,31/07/2002,,,,,03/04/2003,01/12/2003,,,Operational,POINT (303823 392138)
2495,10581765,23/08/2017,RWE Npower,Rhyl Flats ,Wind Offshore,,,90.0,,,,,,,3.60,25,,,Operational,Operational,,,"8km Abergele, five miles off the North Wales coast in Liverpool Bay",Offshore,Offshore,Wales,,290990,388002,DECC (S36),,,,,,01/01/1900,25/03/2002,,,,,,,01/01/2003,,,,,01/09/2007,28/12/2009,,,Operational,POINT (290990 388002)
2496,10543191,18/08/2017,E.ON UK,Robin Rigg East,Wind Offshore,,,84.0,,,,,,,3.00,28,,,Operational,Operational,,,9.5km Maryport/8.5km off Rock Cliffe ,Offshore,Offshore,Scotland,,291005,542348,Scottish Government (S36),,,,,,01/01/1900,14/06/2002,,,,,,,16/06/2003,,,,,01/12/2006,28/04/2010,,,Operational,POINT (291005 542348)
2497,10543191,18/08/2017,E.ON UK,Robin Rigg West,Wind Offshore,,,90.0,,,,,,,3.00,30,,,Operational,Operational,,,9.5km Maryport/8.5km off Rock Cliffe ,Offshore,Offshore,Scotland,,288785,540522,Scottish Government (S36),,,,,,01/01/1900,14/06/2002,,,,,,,16/06/2003,,,,,01/12/2006,18/07/2009,,,Operational,POINT (288785 540522)
