Site Name,Operator (or Applicant),Status_Category,Development Status (short),Installed Capacity (MWelec),County,Region,X-coordinate,Y-coordinate,longitude,latitude
Cefn Croes Wind Farm,"Renewable Development Company Ltd, KENTECH Ltd",Operational,Operational,58.5,Dyfed,Wales,281000,280000,-3.750691129954678,52.40502768181346
Whitelee Windfarm Extension phase 2,Scottish Power,Operational,Operational,109.0,Strathclyde,Scotland,254220,640867,-4.317630408823731,55.63942792702672
Chirmorie Wind Farm,Corolis Energy/ ESB,Planned,Awaiting Construction,80.0,Strathclyde,Scotland,222552,579875,-4.781456418486979,55.08150333725434
Daer Wind Farm,E.ON Climate & Renewables UK Developments,Planned,Application Submitted,100.0,South Lanarkshire,Scotland,300000,606000,-3.578114339755863,55.337834764586226
Little Cheyne Court Wind Farm,RWE npower,Operational,Operational,59.8,Kent,South East,598310,122060,0.8227368165057044,50.96382348228798
Hadyard Hill,Scottish and Southern Energy (SSE),Operational,Operational,120.0,Strathclyde,Scotland,226478,599253,-4.731906523509732,55.256823341011376
Crystal Rig Phase 1,Fred Olsen Renewables,Operational,Operational,62.5,Borders,Scotland,368350,665650,-2.507506015278352,55.88295032832863
Black Law,Scottish Power Renewables,Operational,Operational,124.0,Strathclyde,Scotland,289500,653500,-3.762566605098417,55.76218897974121
Braes O'Doune,Greencoat UK Wind,Operational,Operational,72.0,Stirling,Scotland,272590,710500,-4.0589374267598854,56.269828915366
Scout Moor Windfarm,Munich Re (previously Peel),Operational,Operational,65.0,Lancashire,North West,382400,419200,-2.26785853491505,53.66897658356125
Arecleoch Windfarm,Scottish Power Renewables,Operational,Operational,120.0,South Ayrshire,Scotland,221500,578500,-4.797053507264143,55.06878497205822
Mark Hill,Force 9 Energy,Operational,Operational,56.0,Strathclyde,Scotland,225000,585000,-4.746310375516401,55.128373053794604
Whitelaw Brae Wind Farm,Ripple Energy Limited,Planned,Awaiting Construction,50.4,Strathclyde,Scotland,306039,621476,-3.488159489921712,55.47804067710408
Cumberhead West Wind Farm,3R Energy Solutions Limited,Under Construction,Under Construction,126.0,Strathclyde,Scotland,281169,635550,-3.887474246458565,55.599018267599334
Shepherd's Rig Wind Farm,Boralex/Infinergy,Planned,Awaiting Construction,81.0,Dumfries and Galloway,Scotland,262319,593591,-4.165693018438934,55.21729785116822
Crystal Rig Wind Farm Phase 2a,Fred Olsen Renewables,Operational,Operational,138.0,Borders,Scotland,367000,667500,-2.529311373538807,55.89948068296659
Whitelee,CRE Energy/ Scottish Power,Operational,Operational,322.0,Strathclyde,Scotland,256800,645435,-4.279060578358627,55.68120687788658
Enoch Hill,E.ON Renewables,Under Construction,Under Construction,70.0,Strathclyde,Scotland,258401,609144,-4.235064380153561,55.35583850296002
Benbrack Wind Farm,E.ON Renewables / Red Rock Power Limited,Under Construction,Under Construction,67.1,East Ayrshire,Scotland,253199,599440,-4.311967409497722,55.26718514633642
Beaw Field Wind Farm,Peel Wind Farms,Planned,Awaiting Construction,59.5,Shetland,Scotland,450461,1182092,-1.082712665205683,60.519283329201166
Rothes Wind (Cairn Uish),Natural Power Consultants,Operational,Operational,50.6,Grampian,Scotland,318500,850500,-3.362957508939726,57.537263750192814
Euchanhead Wind Farm,ScottishPower Renewables UK Limited,Planned,Application Submitted,126.0,Dumfries and Galloway,Scotland,266343,604138,-4.107500291253274,55.313112695036544
Moy Wind Farm (2nd Application),Eneco,Operational,Operational,66.0,Highland,Scotland,276947,835012,-4.048801273033511,57.388833752548955
Gordonbush,Scottish and Southern Energy (SSE),Operational,Operational,70.0,Highland,Scotland,284500,909500,-3.9590510483295027,58.059495017871676
Frodsham Marsh,Foresight/Belltown,Operational,Operational,50.4,Cheshire,North West,348857,378461,-2.7688585873174527,53.300617700235094
Brechfa Forest West,RWE Npower Renewables,Operational,Operational,57.4,Dyfed,Wales,254202,231259,-4.123373226909782,51.96064219183833
Beinneun,Octopus Investments/Blue Energy,Operational,Operational,85.0,Highland,Scotland,220442,804419,-4.96548104707889,57.095605803530056
Whitelee Windfarm Extension Phase 1,Scottish Power Renewables,Operational,Operational,108.0,Strathclyde,Scotland,256300,645000,-4.286777643353905,55.67715362703153
Llandinam Windfarm Repowering and Extension,Scottish Power (formerly CeltPower Ltd/Eurus Energy),Planned,Awaiting Construction,102.0,Powys,Wales,303400,284070,-3.422718093302625,52.44602323559446
Clyde Wind Farm,Scottish and Southern Energy (SSE)/ Greencoat UK Wind ,Operational,Operational,350.0,Strathclyde,Scotland,302500,617500,-3.5427342376805178,55.44163408233999
Middlemoor,Npower Renewables,Operational,Operational,54.0,Northumberland,North East,414765,622786,-1.7678381454563223,55.498639130847224
Baillie Wind Farm,Baillie Windfarm Ltd,Operational,Operational,52.5,Highland,Scotland,302550,965650,-3.6770209864280057,58.56792108721411
Ray Wind Farm,Vattenfall,Operational,Operational,54.4,Northumberland,North East,395550,587550,-2.0714215103852496,55.182219278306725
Griffin Wind farm,Greenpower (Griffin) Ltd,Operational,Operational,156.0,Tayside,Scotland,293600,744600,-3.7337523701724793,56.581222522433
