Site_Rank,Easting_m,Northing_m,WLC_Score,Wind_Speed_ms,Slope_deg,Grid_Distance_km,Roads_Distance_km
1,147500.000,822500.000,8.234,9.141,4.567,7.071,5.000
2,222500.000,772500.000,8.010,9.263,4.159,7.071,7.071
3,142500.000,32500.000,7.917,7.435,1.195,5.000,5.000
4,227500.000,882500.000,7.845,9.329,3.927,11.180,5.000
5,362500.000,557500.000,7.763,7.534,3.080,5.000,5.000
6,247500.000,802500.000,7.658,8.502,1.118,5.000,10.000
7,212500.000,572500.000,7.420,7.061,1.243,5.000,5.000
8,227500.000,662500.000,7.410,7.856,1.702,5.000,5.000
9,402500.000,542500.000,7.306,6.975,1.252,5.000,5.000
10,202500.000,807500.000,7.303,7.888,2.688,5.000,5.000
11,232500.000,387500.000,7.290,7.151,0.715,0.000,7.071
12,312500.000,337500.000,7.156,7.150,1.605,7.071,5.000
13,282500.000,287500.000,7.122,6.909,1.900,5.000,5.000
14,392500.000,432500.000,7.106,6.858,1.557,5.000,5.000
15,372500.000,667500.000,6.969,7.541,1.880,5.000,5.000
16,182500.000,672500.000,6.942,7.606,2.627,0.000,5.000
17,297500.000,242500.000,6.926,6.656,0.901,5.000,5.000
18,242500.000,347500.000,6.878,6.774,2.337,5.000,5.000
19,292500.000,702500.000,6.870,7.478,1.993,5.000,5.000
20,347500.000,597500.000,6.814,6.700,2.126,5.000,5.000
